,sz_disk,sz_ram,int64,float64,object
0,1106036270,3066242548,78,85,34
1,1032459,2897120,12,12,7
2,583720358,1539067030,37,50,16
3,70260983,192909198,31,32,13
4,152467598,449170850,17,8,5
5,99361969,277611773,9,7,4
6,52994996,127371688,8,9,2
7,506195042,1334340458,58,64,23
8,1302033124,3700808384,76,76,40
9,266604709,736454378,34,34,17
10,34953410,92974607,52,35,18
11,4132973,12149399,35,28,16
12,1230453897,3254587364,81,86,32
13,588965014,1796243843,80,54,33
14,21845035,60775142,16,20,9
15,403746987,1181024409,72,68,35
16,1045463233,3234710553,62,55,36
17,331106885,979569360,63,45,27
18,32028785,94240854,46,54,22
19,221539637,662129960,13,11,8
20,699695569,2174108568,58,63,29
21,186477357,566984628,49,43,24
22,658455863,1980052748,38,40,25
23,164625873,422972200,21,26,7
24,73906370,217534707,28,33,15
25,493625053,1365601063,29,36,14
26,148731074,460950968,41,34,18
27,928186061,2763858830,64,81,41
28,952901722,2829436332,70,72,41
29,176537792,495031544,23,27,11
30,347655357,998761139,23,17,11
31,406462465,1124058504,40,44,18
32,51432918,152154582,56,43,23
33,163905774,494259986,45,53,26
34,69124539,207733296,52,46,28
35,365215126,1043164148,47,38,17
36,736656387,2268166628,60,62,38
37,322032728,999262028,73,71,48
38,5734885,16050764,23,19,10
39,87525237,227726174,24,13,7
40,250329619,720748592,33,23,16
41,843304031,2341614371,45,54,26
42,32541035,104674280,36,33,26
43,391007179,1115352260,56,55,27
44,6458194,13683656,12,14,2
45,771301797,2353260608,49,45,25
46,1376711186,4030254167,82,72,44
47,63958748,189574804,40,47,22
48,194186714,452630008,29,29,7
49,193567671,584749934,15,24,11
50,83238824,239317738,35,44,23
51,70027469,199051148,15,21,10
52,168876833,432513022,55,57,18
53,6337782,18190596,53,53,25
54,72683457,246285272,19,13,18
55,321796136,965386142,35,34,18
56,127271800,335254190,25,26,8
57,488776358,1486288272,45,39,21
58,730464985,2070310703,45,60,28
59,182897391,503111456,68,77,35
60,235990657,768977245,59,50,37
61,508411901,1590216338,59,53,35
62,1048193842,3103797104,63,66,34
63,307422429,884315444,32,30,16
64,923206785,2921456378,86,70,44
65,124301640,360156002,8,12,6
66,951009681,2719901180,85,76,39
67,18312959,58839452,61,45,36
68,95721684,314390904,15,18,12
69,101025714,265143489,24,19,9
70,550804715,1624723910,28,38,17
71,804729537,2356309723,81,67,44
72,314672345,836020868,49,50,16
73,79504316,210244215,27,23,8
74,196228144,591505296,58,71,39
75,1083701977,3283103234,60,65,38
76,187507587,556542920,16,23,9
77,889625183,2701700588,57,48,30
78,353500775,1050899600,44,32,14
79,255902881,634049330,33,27,9
80,31191596,67624941,11,7,1
81,455943104,1338306776,29,38,20
82,71666301,213988130,51,45,32
83,1097628364,3331942628,57,64,40
84,55612774,176143956,10,7,5
85,465793662,1276296344,49,48,17
86,394032531,1029982627,36,28,11
87,50372892,146431028,16,7,4
88,973568023,2888595265,63,74,36
89,15527435,36699788,23,23,5
90,50214434,152880212,17,19,11
91,321464020,882517862,67,74,30
92,328974032,988257183,20,29,15
93,900989717,2606586208,83,73,41
94,541410302,1438516368,47,40,17
95,129505293,335934915,38,34,11
96,28397404,93304938,19,17,11
97,16117468,20404992,6,6,0
98,829687319,2385369928,64,55,26
99,602247410,1796033329,60,76,37
